# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
90.5600,93.2400,88.0000,42253469,88.0000
93.6400,93.9700,91.5000,47076959,91.7800
94.7900,96.0700,93.5813,46645657,94.2600
93.7500,95.4000,93.5100,44284284,95.0100
93.3000,93.6600,92.1000,34153798,92.7400
95.1400,95.4500,93.7200,30409620,93.9200
93.1200,94.0600,92.5800,26348999,94.0600
92.4650,93.2400,91.9300,23983094,92.3300
92.5500,93.4300,91.5800,32107765,91.8200
91.9000,92.3000,91.5400,22283365,91.9000
90.0000,91.6200,89.7400,23190700,91.6100
90.1400,90.6100,89.6600,34896964,90.0000
89.8000,90.6700,89.6600,22931303,90.1000
89.0800,90.2800,88.7500,24659472,90.1400
90.1000,90.7900,88.0104,35945428,88.3500
88.6700,89.7800,88.4500,24000439,89.6000
88.1300,88.1300,87.2400,16529868,88.0800
87.8600,88.1900,87.4100,18129153,87.8200
88.6500,88.7272,87.8600,19390427,88.2200
88.2000,88.5800,87.6046,20293930,88.2800
87.6600,88.4100,87.4300,22526563,88.1900
86.5900,87.6600,86.5700,21145985,87.1100
86.0550,86.5100,85.9700,24173064,86.3500
86.1250,86.3100,85.5000,21993101,85.9500
85.6300,86.0500,85.5000,18162779,85.5400
85.9000,85.9300,85.5500,9872795,85.7200
85.6500,85.9800,85.2150,13000828,85.7100
85.3100,85.5346,85.0300,9737412,85.4000
85.4000,85.6300,84.9200,14033977,85.5100
86.0500,86.1000,85.4000,16638402,85.5000
86.2000,86.3000,84.7100,23425009,85.5200
86.3500,86.3500,85.2700,23241979,85.8300
87.1200,87.4999,86.2300,21551076,86.3800
85.2600,87.0900,84.8800,52430167,86.8500
85.4300,85.8739,84.5300,19080106,84.6900
85.7400,86.0000,85.1700,21307911,85.3500
85.3100,86.0500,85.0800,23534946,85.5800
84.2900,85.3700,84.1200,19909119,85.2300
83.6300,84.5800,83.3300,23825056,84.1600
82.5400,82.8000,82.0000,20378114,82.4900
81.5500,83.1400,81.4300,24821403,82.7800
81.3400,82.6800,80.9801,25512120,81.5900
84.4200,84.4299,80.7000,37977732,81.0800
83.6000,84.8100,83.2200,29387325,84.2600
83.5100,84.5200,83.3400,32998408,84.1700
84.7100,84.9172,83.1750,27358477,83.3400
84.0700,85.0600,84.0200,21162639,84.8800
83.3100,83.9800,83.3000,17603760,83.8700
83.0100,83.4300,82.7800,7425503,83.2600
83.8300,83.9000,83.0400,20213704,83.1100
82.7400,83.8400,82.7400,21237454,83.7200
82.4000,82.5900,82.2500,16072495,82.5300
83.1200,83.1200,82.2400,21715498,82.4000
83.1000,83.4200,82.9400,20659209,83.2000
83.4700,83.6900,82.6900,19097333,82.9800
83.5000,84.1000,82.9800,18604034,84.0500
83.6600,83.9400,83.4600,14080820,83.9300
83.7900,84.0950,83.2300,19340435,83.8700
84.1100,84.2700,82.9000,20924172,84.0900
84.1400,84.6100,83.8300,18034170,84.5600
84.7700,84.9000,83.9300,17152583,84.2700
84.2000,84.7000,84.0825,19039847,84.4700
84.0800,84.5400,83.4000,17569120,84.1400
83.3500,84.4600,83.1200,23822964,84.0500
83.6800,83.7600,82.8800,22039635,83.1800
84.3600,84.3600,83.1100,26728947,83.1800
83.7000,84.3250,83.1050,31291801,83.8900
84.3700,86.2000,83.6100,70877350,83.8100
79.2000,79.4200,78.7500,29181652,78.7600
78.5800,79.1000,78.0100,19714512,78.6300
78.9000,79.2000,78.4600,16613928,78.8600
78.9900,79.3400,78.7600,20479731,78.8300
78.3200,78.9700,78.2200,22517092,78.8100
77.5700,77.9300,77.3500,14982129,77.9100
77.6700,77.8500,77.3700,13147124,77.6100
77.4700,77.6200,77.2500,15953665,77.5900
77.4200,77.8100,77.3500,12331147,77.6500
77.5900,77.8700,77.2900,15250772,77.4900
76.4900,77.2900,76.3700,16778148,77.1200
76.3600,76.4600,75.9500,14780652,76.4200
76.3300,76.6300,76.1400,13734627,76.2900
75.9700,76.5500,75.8600,11364275,76.2900
